대학,계열,모집단위,전형분류,전과목
강원대(춘천),자연,수의예과,교과,1.263
연세대,공통,간호학과,교과,1.263
건국대,인문,경영학과,교과,1.547
고려대,인문,보건정책관리학부,교과,1.547
성균관대,인문,사회학과,교과,1.547
UNIST,자연,이공계열,종합,1.57
성균관대,자연,공학계열,종합,1.57
건국대,인문,응용통계학과,교과,1.842
이화여대,자연,식품영양학과,종합,1.874
서울시립대,인문,경영학부,종합,1.88
숙명여대,인문,경영학부,교과,1.88
이화여대,인문,경영학부,교과,1.88
가천대(메디컬),자연,간호학과,교과,1.991
숙명여대,자연,생명시스템학부,교과,2.072
연세대,인문,언더우드학부(인문사회),실기,2.103
이화여대,인문,경제학과,종합,2.103
동국대,인문,경영학과,교과,2.145
건국대,공통,KU자유전공학부,종합,2.153
동국대,자연,식품생명공학과,교과,2.153
건국대,자연,생물공학과,종합,2.216
성균관대,인문,교육학과,종합,2.231
숙명여대,인문,교육학부,종합,2.231
가천대(메디컬),자연,간호학과,종합,2.613
숭실대,자연,수학과,교과,2.613
성신여대,인문,의류산업학과,종합,2.632
홍익대,예체능,섬유미술패션디자인과,실기,2.632
경기대(서울),인문,관광개발경영학과,교과,2.658
동덕여대,인문,경영융합학부,교과,2.658
가톨릭대(성심),자연,에너지환경공학과,교과,2.73
경기대(수원),자연,사회에너지시스템공학과,교과,2.73
서울여대,자연,생명환경공학과,종합,2.73
성신여대,인문,소비자산업학과,종합,2.761
동덕여대,자연,자연과학부응용화학전공,교과,2.842
인천대,자연,화학과,교과,2.842
인하대,자연,고분자공학과,종합,2.842
덕성여대,인문,글로벌융합대학(인문사회),교과,2.95
서울여대,인문,일어일문학과,종합,2.95
숙명여대,인문,일본학과,종합,2.95
숭실대,인문,일어일문학과,종합,2.95
경기대(수원),인문,글로벌어문학부,교과,2.967
서울여대,자연,식품공학과,교과,3.179
동덕여대,인문,사회과학부아동학전공,교과,3.197
명지대(서울),인문,아동학전공,종합,3.197
인하대,인문,아동심리학과,종합,3.197
강원대(춘천),인문,자유전공학부(인문계열),교과,3.205
서울여대,인문,경영학과,종합,3.205
인천대,인문,경영학부,종합,3.205
한동대,공통,전 학부(자율전공),교과,3.237
가천대(글로벌),자연,건축학부,교과,3.297
인천대,자연,도시건축학부,교과,3.297
가톨릭대(성심),인문,경영학과,종합,3.333
서울여대,인문,경영학과,교과,3.333
원광대,자연,간호학과,종합,3.368
제주대,자연,간호학과,교과,3.368
명지대(서울),인문,국어국문학전공,종합,3.368
덕성여대,인문,글로벌융합대학(인문사회),종합,3.376
서경대,인문,미래융합학부1,교과,3.496
가톨릭대(성심),자연,식품영양학과,종합,3.658
한성대,인문,미래융합사회과학대학(야),교과,3.658
세명대,자연,간호학과,교과,3.761
수원대,자연,간호학과,논술,3.802
